,Condition,Best_Epoch
0,chromosomal_new,77
1,chromosomal_new,59
2,chromosomal_new,66
3,chromosomal_new,57
4,chromosomal_new,75
5,chromosomal_new,59
6,chromosomal_new,64
7,chromosomal_new,55
8,chromosomal_new,55
9,chromosomal_new,55
10,chromosomal_new,72
11,chromosomal_new,69
12,chromosomal_new,72
13,chromosomal_new,7
14,chromosomal_new,75
15,chromosomal_new,72
16,chromosomal_new,64
17,chromosomal_new,67
18,chromosomal_new,75
19,chromosomal_new,73
20,chromosomal_new,69
21,chromosomal_new,57
22,chromosomal_new,76
23,chromosomal_new,57
24,chromosomal_new,65
25,chromosomal_new,63
26,chromosomal_new,62
27,chromosomal_new,62
28,chromosomal_new,65
29,chromosomal_new,56
30,chromosomal_new,64
31,chromosomal_new,64
32,chromosomal_new,65
33,chromosomal_new,64
34,chromosomal_new,57
35,chromosomal_new,70
36,chromosomal_new,54
37,chromosomal_new,74
38,chromosomal_new,70
39,chromosomal_new,60
40,chromosomal_new,74
41,chromosomal_new,71
42,chromosomal_new,61
43,chromosomal_new,68
44,chromosomal_new,66
45,chromosomal_new,71
46,chromosomal_new,70
47,chromosomal_new,77
48,chromosomal_new,66
49,chromosomal_new,66
50,chromosomal_new,67
51,chromosomal_new,62
52,chromosomal_new,60
53,chromosomal_new,64
54,chromosomal_new,62
55,chromosomal_new,60
56,chromosomal_new,62
57,chromosomal_new,60
58,chromosomal_new,70
59,chromosomal_new,58
60,chromosomal_new,69
61,chromosomal_new,72
62,chromosomal_new,65
63,chromosomal_new,70
64,chromosomal_new,55
65,chromosomal_new,69
66,chromosomal_new,55
67,chromosomal_new,76
68,chromosomal_new,70
69,chromosomal_new,66
70,chromosomal_new,60
71,chromosomal_new,57
72,chromosomal_new,62
73,chromosomal_new,67
74,chromosomal_new,70
75,chromosomal_new,57
76,chromosomal_new,61
77,chromosomal_new,73
78,chromosomal_new,64
79,chromosomal_new,57
80,chromosomal_new,80
81,chromosomal_new,64
82,chromosomal_new,67
83,chromosomal_new,61
84,chromosomal_new,54
85,chromosomal_new,61
86,chromosomal_new,64
87,chromosomal_new,61
88,chromosomal_new,69
89,chromosomal_new,66
90,chromosomal_new,67
91,chromosomal_new,63
92,chromosomal_new,65
93,chromosomal_new,67
94,chromosomal_new,67
95,chromosomal_new,67
96,chromosomal_new,63
97,chromosomal_new,64
98,chromosomal_new,67
99,chromosomal_new,59
100,chromosomal_new,62
101,chromosomal_new,63
102,chromosomal_new,78
103,chromosomal_new,67
104,chromosomal_new,70
105,chromosomal_new,68
106,chromosomal_new,60
107,chromosomal_new,59
108,chromosomal_new,80
109,chromosomal_new,70
110,chromosomal_new,61
111,chromosomal_new,78
112,chromosomal_new,59
113,chromosomal_new,70
114,chromosomal_new,68
115,chromosomal_new,59
116,chromosomal_new,74
117,chromosomal_new,79
118,chromosomal_new,69
119,chromosomal_new,70
120,chromosomal_new,76
121,chromosomal_new,69
122,chromosomal_new,72
123,chromosomal_new,65
124,chromosomal_new,57
125,chromosomal_new,76
126,chromosomal_new,61
127,chromosomal_new,59
128,chromosomal_new,72
129,chromosomal_new,65
130,chromosomal_new,66
131,chromosomal_new,60
132,chromosomal_new,69
133,chromosomal_new,54
134,chromosomal_new,77
135,chromosomal_new,66
136,chromosomal_new,60
137,chromosomal_new,68
138,chromosomal_new,59
139,chromosomal_new,72
140,chromosomal_new,71
141,chromosomal_new,60
142,chromosomal_new,63
143,chromosomal_new,63
144,chromosomal_new,71
145,chromosomal_new,58
146,chromosomal_new,66
147,chromosomal_new,71
148,chromosomal_new,62
149,chromosomal_new,71
150,chromosomal_new,63
151,chromosomal_new,70
152,chromosomal_new,76
153,chromosomal_new,70
154,chromosomal_new,74
155,chromosomal_new,74
156,chromosomal_new,70
157,chromosomal_new,63
158,chromosomal_new,71
159,chromosomal_new,65
160,chromosomal_new,64
161,chromosomal_new,68
162,chromosomal_new,64
163,chromosomal_new,64
164,chromosomal_new,69
165,chromosomal_new,61
166,chromosomal_new,59
167,chromosomal_new,63
168,chromosomal_new,64
169,chromosomal_new,55
170,chromosomal_new,62
171,chromosomal_new,67
172,chromosomal_new,68
173,chromosomal_new,70
174,chromosomal_new,69
175,chromosomal_new,59
176,chromosomal_new,69
177,chromosomal_new,64
178,chromosomal_new,62
179,chromosomal_new,59
180,chromosomal_new,61
181,chromosomal_new,74
182,chromosomal_new,61
183,chromosomal_new,74
184,chromosomal_new,71
185,chromosomal_new,64
186,chromosomal_new,69
187,chromosomal_new,74
188,chromosomal_new,74
189,chromosomal_new,79
190,chromosomal_new,76
191,chromosomal_new,75
192,chromosomal_new,67
193,chromosomal_new,70
194,chromosomal_new,72
195,chromosomal_new,71
196,chromosomal_new,61
197,chromosomal_new,70
198,chromosomal_new,70
199,chromosomal_new,70
200,chromosomal_new,75
201,chromosomal_new,60
202,chromosomal_new,60
203,chromosomal_new,61
204,chromosomal_new,61
205,chromosomal_new,70
206,chromosomal_new,61
207,chromosomal_new,67
208,chromosomal_new,61
209,chromosomal_new,65
210,chromosomal_new,53
211,chromosomal_new,73
212,chromosomal_new,61
213,chromosomal_new,71
214,chromosomal_new,71
215,chromosomal_new,61
216,chromosomal_new,57
217,chromosomal_new,64
218,chromosomal_new,59
219,chromosomal_new,55
220,chromosomal_new,77
221,chromosomal_new,78
222,chromosomal_new,66
223,chromosomal_new,73
224,chromosomal_new,67
225,chromosomal_new,80
226,chromosomal_new,73
227,chromosomal_new,75
228,chromosomal_new,74
229,chromosomal_new,67
230,chromosomal_new,66
231,chromosomal_new,74
232,chromosomal_new,71
233,chromosomal_new,69
234,chromosomal_new,71
235,chromosomal_new,76
236,chromosomal_new,77
237,chromosomal_new,78
238,chromosomal_new,71
239,chromosomal_new,71
240,chromosomal_new,63
241,chromosomal_new,54
242,chromosomal_new,58
243,chromosomal_new,70
244,chromosomal_new,58
245,chromosomal_new,70
246,chromosomal_new,73
247,chromosomal_new,60
248,chromosomal_new,54
249,chromosomal_new,57
250,chromosomal_new,72
251,chromosomal_new,76
252,chromosomal_new,79
253,chromosomal_new,68
254,chromosomal_new,71
255,chromosomal_new,71
256,chromosomal_new,65
257,chromosomal_new,75
258,chromosomal_new,76
259,chromosomal_new,76
260,chromosomal_new,60
261,chromosomal_new,69
262,chromosomal_new,68
263,chromosomal_new,65
264,chromosomal_new,61
265,chromosomal_new,75
266,chromosomal_new,69
267,chromosomal_new,63
268,chromosomal_new,77
269,chromosomal_new,63
270,chromosomal_new,62
271,chromosomal_new,66
272,chromosomal_new,72
273,chromosomal_new,73
274,chromosomal_new,61
275,chromosomal_new,64
276,chromosomal_new,65
277,chromosomal_new,67
278,chromosomal_new,64
279,chromosomal_new,66
280,chromosomal_new,67
281,chromosomal_new,70
282,chromosomal_new,59
283,chromosomal_new,70
284,chromosomal_new,70
285,chromosomal_new,70
286,chromosomal_new,69
287,chromosomal_new,72
288,chromosomal_new,63
289,chromosomal_new,70
290,chromosomal_new,63
291,chromosomal_new,59
292,chromosomal_new,76
293,chromosomal_new,79
294,chromosomal_new,59
295,chromosomal_new,62
296,chromosomal_new,76
297,chromosomal_new,78
298,chromosomal_new,76
299,chromosomal_new,64
300,HomoTrainOrthoVal,66
301,HomoTrainOrthoVal,59
302,HomoTrainOrthoVal,65
303,HomoTrainOrthoVal,70
304,HomoTrainOrthoVal,59
305,HomoTrainOrthoVal,70
306,HomoTrainOrthoVal,64
307,HomoTrainOrthoVal,63
308,HomoTrainOrthoVal,59
309,HomoTrainOrthoVal,65
310,HomoTrainOrthoVal,74
311,HomoTrainOrthoVal,69
312,HomoTrainOrthoVal,69
313,HomoTrainOrthoVal,66
314,HomoTrainOrthoVal,66
315,HomoTrainOrthoVal,65
316,HomoTrainOrthoVal,77
317,HomoTrainOrthoVal,56
318,HomoTrainOrthoVal,71
319,HomoTrainOrthoVal,61
320,HomoTrainOrthoVal,62
321,HomoTrainOrthoVal,63
322,HomoTrainOrthoVal,68
323,HomoTrainOrthoVal,78
324,HomoTrainOrthoVal,62
325,HomoTrainOrthoVal,68
326,HomoTrainOrthoVal,62
327,HomoTrainOrthoVal,63
328,HomoTrainOrthoVal,68
329,HomoTrainOrthoVal,62
330,HomoTrainOrthoVal,53
331,HomoTrainOrthoVal,59
332,HomoTrainOrthoVal,70
333,HomoTrainOrthoVal,71
334,HomoTrainOrthoVal,67
335,HomoTrainOrthoVal,70
336,HomoTrainOrthoVal,59
337,HomoTrainOrthoVal,60
338,HomoTrainOrthoVal,70
339,HomoTrainOrthoVal,63
340,HomoTrainOrthoVal,56
341,HomoTrainOrthoVal,72
342,HomoTrainOrthoVal,72
343,HomoTrainOrthoVal,58
344,HomoTrainOrthoVal,57
345,HomoTrainOrthoVal,59
346,HomoTrainOrthoVal,69
347,HomoTrainOrthoVal,66
348,HomoTrainOrthoVal,69
349,HomoTrainOrthoVal,66
350,HomoTrainOrthoVal,71
351,HomoTrainOrthoVal,56
352,HomoTrainOrthoVal,74
353,HomoTrainOrthoVal,59
354,HomoTrainOrthoVal,61
